user_id,tweet_created_time,tweet_text,tweet_length,user_created_at,user_followers_count,user_friends_count,twitter_source,tweet_likes,tweet_retweets
1235741769100214272,2020-03-06 01:39:31,b'Thats how u get coronavirus Reggie Jackson\n#clippers https://t.co/NaymT6MLvb',76,2019-10-12 00:09:17,786,8,Twitter for iPhone,0,0
1235741768823590913,2020-03-06 01:39:31,b'RT @GavinNewsom: BREAKING: we have ordered health insurance companies to waive ALL out-of-pocket costs for preventive coronavirus testing.\xe2\x80\xa6',139,2011-07-29 02:28:51,282,470,Twitter Web App,0,219
1235741768726900736,2020-03-06 01:39:31,b'RT @Abdi10i: Seeing the Ka\xe2\x80\x99baa being closed due to Coronavirus precautions feels so odd and discomforting. https://t.co/dp7XX3imSC',130,2012-08-29 13:25:40,113,241,Twitter for iPhone,0,12328
1235741768676765697,2020-03-06 01:39:31,"b""RT @DogginTrump: Bi*ch people are dying from the #coronavirus, others are sleeping in the streets, many don't even have health insurance, b\xe2\x80\xa6""",140,2008-05-17 05:31:57,550,738,Twitter Web App,0,71
1235741768244760577,2020-03-06 01:39:31,b'RT @ianbremmer: This happened...suddenly. https://t.co/s8tpSIKBAu',65,2008-10-27 16:52:06,1664,2903,Twitter for iPhone,0,21
1235741768014053378,2020-03-06 01:39:31,"b'RT @TrinityResists: Global #COVID19 totals:\n93,000 infected\n3,200 deaths, incl 11 in the US.\n\n#Coronavirus death rate= 3.44%\n\nIf anything,\xe2\x80\xa6'",139,2019-03-31 00:31:31,127,31,Twitter for iPhone,0,342
1235741768005500930,2020-03-06 01:39:31,b'RT @kapur_ritu: Just landed back from an international trip and was NOT screened at any point ... while reports say -  All international pa\xe2\x80\xa6',140,2019-03-01 14:48:34,76,68,Twitter for iPhone,0,1516
1235741767942557707,2020-03-06 01:39:31,"b'RT @BBC_Hyung: WOW. A man in Incheon, west of Seoul - who contracted #coronavirus - has documented his symptoms and activities for past 25\xe2\x80\xa6'",139,2011-08-27 22:06:09,408,699,Twitter for Android,0,495
1235741767926009857,2020-03-06 01:39:31,"b""RT @Jordan_Sather_: And you could've guessed it.\n\nThe Bill &amp; Melinda Gates Foundation has been pumping Moderna with money for years to deve\xe2\x80\xa6""",144,2017-01-24 00:03:40,191,233,Twitter Web App,0,145
1235741767909036037,2020-03-06 01:39:31,b'RT @GavinNewsom: BREAKING: we have ordered health insurance companies to waive ALL out-of-pocket costs for preventive coronavirus testing.\xe2\x80\xa6',139,2019-01-24 23:18:34,1992,1994,Twitter for iPad,0,219
1235741767829532673,2020-03-06 01:39:31,b'RT @mumbles_j: Coronavirus has no hope of being contained. Because the average American is hilariously stupid',109,2012-08-21 01:37:56,101,201,Twitter for iPhone,0,49013
1235741767753814017,2020-03-06 01:39:31,"b'RT @mayawiley: This is not reassuring. On a positive note, made an appointment with an orthopedist about my ankle and they asked all the ri\xe2\x80\xa6'",140,2017-01-26 04:53:48,4004,4371,Twitter for iPhone,0,147
1235741767636373504,2020-03-06 01:39:31,b'RT @WFLA: Is your meth contaminated with coronavirus? This Florida police dept. will test it for free https://t.co/gMbeqKzWcC https://t.co/\xe2\x80\xa6',140,2018-12-17 05:36:08,7,222,Twitter for iPhone,0,32176
1235741767258877952,2020-03-06 01:39:30,"b'RT @rezendi: Wow, Sequoia all but telling portfolio companies to start laying people off https://t.co/sgVWi9IPWX ""Headcount. Given all of t\xe2\x80\xa6'",140,2009-09-07 12:13:00,1100,82,Twitter for iPhone,0,129
1235741767141486592,2020-03-06 01:39:30,"b'Unfortunately for #ATLUTD fans, this gameday tradition will be limited, too. MBS staff encourages fans to wave rath\xe2\x80\xa6 https://t.co/xW4KBww2Hn'",140,2009-04-22 00:55:01,5541,1699,Twitter Web App,0,0
1235741767116308480,2020-03-06 01:39:30,"b'Close it!  Please\nIt\xe2\x80\x99s corrupt, teaches socialism and the #coronavirus will change it forever. \nHomeschooling will\xe2\x80\xa6 https://t.co/zDwOWBZR0M'",139,2016-06-18 03:34:27,3161,3160,Twitter for iPad,0,0
1235741767049322496,2020-03-06 01:39:30,"b""RT @Beckster_2: You know who can\xe2\x80\x99t 'panic buy' and stockpile household goods?\n\nPeople on low incomes, living week to week on very little ca\xe2\x80\xa6""",140,2017-03-18 01:02:30,3483,3820,Twitter Web App,0,9
1235741766789234688,2020-03-06 01:39:30,b'@MarshaBlackburn @CDCgov Will the state of Tennessee pay for coronavirus testing for its residents? We have a very high rate of uninsured.',138,2011-07-09 12:51:25,145,461,Twitter for iPad,0,0
1235741766629744641,2020-03-06 01:39:30,"b'RT @BarackObama: Protect yourself and your community from coronavirus with common sense precautions: wash your hands, stay home when sick a\xe2\x80\xa6'",140,2015-09-04 18:07:11,17,96,Twitter for iPhone,0,118973
1235741766591995909,2020-03-06 01:39:30,"b""RT @KTVU: We are updating our #BayArea school closures related to #coronavirus list. Here's what we have so far: \n1) Lowell High School in\xe2\x80\xa6""",139,2019-12-08 15:23:30,111,541,Twitter Web App,0,67
1235741766445395970,2020-03-06 01:39:30,"b'RT @tedlieu: Dear @VP Pence: Is the below true? Do you have a plan? \n\nAlso, when are local jurisdictions going to get the #Coronavirus test\xe2\x80\xa6'",140,2008-08-11 15:27:53,1519,1438,Twitter for iPhone,0,316
